,seed,model_name,accuracy,f1_score,n_clusters,domain,n_test_samples
213,200,rf,0.8365384615384616,0.8917197452229298,7,Domain1,312
214,200,rf,0.9816272965879265,0.0,7,Domain2,381
215,200,rf,0.7209302325581395,0.773109243697479,7,Domain3,387
216,200,rf,0.7681159420289855,0.8208955223880597,7,Domain4,207
217,200,rf,0.8840579710144928,0.3684210526315789,7,Domain5,207
218,200,rf,0.7398843930635838,0.8132780082987552,7,Domain6,173
219,200,rf,0.7447447447447447,0.7951807228915663,7,Domain7,333
220,200,rf,0.816,0.8079331941544885,7,Global,2000
221,200,lgbm,0.8333333333333334,0.8916666666666667,7,Domain1,312
222,200,lgbm,0.9816272965879265,0.0,7,Domain2,381
223,200,lgbm,0.7157622739018088,0.7659574468085105,7,Domain3,387
224,200,lgbm,0.7536231884057971,0.8158844765342961,7,Domain4,207
225,200,lgbm,0.8599033816425121,0.35555555555555557,7,Domain5,207
226,200,lgbm,0.7109826589595376,0.7844827586206897,7,Domain6,173
227,200,lgbm,0.7237237237237237,0.775609756097561,7,Domain7,333
228,200,lgbm,0.8045,0.7964601769911506,7,Global,2000
229,200,lr,0.8205128205128205,0.884297520661157,7,Domain1,312
230,200,lr,0.9816272965879265,0.0,7,Domain2,381
231,200,lr,0.6718346253229974,0.7093821510297483,7,Domain3,387
232,200,lr,0.7729468599033816,0.8278388278388279,7,Domain4,207
233,200,lr,0.8840579710144928,0.3684210526315789,7,Domain5,207
234,200,lr,0.6878612716763006,0.7923076923076923,7,Domain6,173
235,200,lr,0.7387387387387387,0.7923627684964201,7,Domain7,333
236,200,lr,0.799,0.7904066736183525,7,Global,2000
237,200,rf,0.8426966292134831,0.8923076923076922,8,Domain1,267
238,200,rf,0.992,0.0,8,Domain2,125
239,200,rf,0.7325581395348837,0.8083333333333332,8,Domain3,172
240,200,rf,0.7485549132947977,0.8053691275167785,8,Domain4,346
241,200,rf,0.9700374531835206,0.3333333333333333,8,Domain5,267
242,200,rf,0.7796052631578947,0.8329177057356608,8,Domain6,304
243,200,rf,0.8518518518518519,0.3333333333333333,8,Domain7,216
244,200,rf,0.7293729372937293,0.7864583333333334,8,Domain8,303
245,200,rf,0.8175,0.8101924076963078,8,Global,2000
246,200,lgbm,0.8164794007490637,0.8778054862842892,8,Domain1,267
247,200,lgbm,0.992,0.0,8,Domain2,125
248,200,lgbm,0.6918604651162791,0.774468085106383,8,Domain3,172
249,200,lgbm,0.7427745664739884,0.799097065462754,8,Domain4,346
250,200,lgbm,0.9737827715355806,0.46153846153846156,8,Domain5,267
251,200,lgbm,0.7763157894736842,0.829145728643216,8,Domain6,304
252,200,lgbm,0.8564814814814815,0.3673469387755102,8,Domain7,216
253,200,lgbm,0.7293729372937293,0.7908163265306123,8,Domain8,303
254,200,lgbm,0.81,0.8033126293995859,8,Global,2000
255,200,lr,0.8352059925093633,0.8860103626943006,8,Domain1,267
256,200,lr,0.992,0.0,8,Domain2,125
257,200,lr,0.7034883720930233,0.7935222672064776,8,Domain3,172
258,200,lr,0.7456647398843931,0.8018018018018018,8,Domain4,346
259,200,lr,0.9700374531835206,0.3333333333333333,8,Domain5,267
260,200,lr,0.7467105263157895,0.8060453400503779,8,Domain6,304
261,200,lr,0.875,0.4,8,Domain7,216
262,200,lr,0.7293729372937293,0.7929292929292929,8,Domain8,303
